From	To
Q9VIV5	FBgn0032791
Q9VXW3	FBgn0030630
Q9W4U7	FBgn0029643
Q8IRR5	FBgn0029783
Q9W484	FBgn0029798
Q9VTZ6	FBgn0036300
Q8MZ50	FBgn0021875
Q9W1A3	FBgn0021875
Q9W3Y3	FBgn0029882
Q9VG94	FBgn0010042
Q9VXE7	FBgn0030761
Q9VX99	FBgn0030801
A1Z7A8	FBgn0033265
Q8MSP2	FBgn0039343
Q9VBQ3	FBgn0039343
Q8T0S7	FBgn0040395
Q9TVM9	FBgn0040395
Q9W525	FBgn0040395
Q4LBB9	FBgn0038063
Q9W3X1	FBgn0029894
Q4QPW4	FBgn0033701
A1Z9K4	FBgn0020620
Q5BI38	FBgn0020620
Q7KQC4	FBgn0020620
Q95RE0	FBgn0020620
Q9VTM1	FBgn0036193
Q9VUN2	FBgn0036496
O77051	FBgn0024371
Q7KIS4	FBgn0034371
Q8MSD1	FBgn0034371
Q24046	FBgn0015776
Q9W263	FBgn0034720
O77430	FBgn0025637
Q03019	FBgn0002673
P17917	FBgn0005655
Q9VYV4	FBgn0030328
Q9VXP1	FBgn0030693
Q9VKF2	FBgn0032377
Q8MRY0	FBgn0032780
Q9VIW8	FBgn0032780
Q9VIK3	FBgn0032878
Q5BI50	FBgn0033260
Q494G8	FBgn0033609
Q8T8S1	FBgn0033784
Q7K3B9	FBgn0033994
Q7K486	FBgn0034315
A1ZBR1	FBgn0034480
Q8T8W7	FBgn0034480
Q95RW0	FBgn0035959
Q9VST7	FBgn0035959
Q95TN4	FBgn0032258
Q9VTM4	FBgn0036196
Q9VUR0	FBgn0036512
Q9VUR4	FBgn0036516
Q8IQM5	FBgn0036516
Q960Q5	FBgn0036516
Q7YZ95	FBgn0037236
Q95S27	FBgn0037236
Q9VI16	FBgn0037440
Q95U38	FBgn0037643
Q9VHJ8	FBgn0037643
Q9VH60	FBgn0037760
Q8T3U8	FBgn0037995
Q9VFN3	FBgn0038202
Q9VFP1	FBgn0038194
Q9VF10	FBgn0038385
