Proteins,C1,C2,C3,C4,C5,Labels
P02574,0.007653110429297404,0.0026117926394934703,0.3798731554755919,1.4065172040351974e-05,6.5346810489136126e+35,0
P39205,0.6163594685447872,0.4583300356153541,0.6066226489937215,0.6688586382438131,1.7646884376430512e+39,0
Q9VC48,0.018687920514572194,0.0026117926394934703,0.3829144216690417,1.9466189752639213e-05,7.583832430230831e+35,0
P06742,0.007511910328721955,0.003957261574990107,0.3820779987296161,0.00010372362533388217,8.617746649329916e+35,0
P35415,0.010163437282972218,0.004194697269489513,0.3881831065655088,0.00011859692396995908,9.83224271238732e+35,0
P35416,0.014225158788768495,0.004194697269489513,0.3881831065655088,0.00011859692396995908,9.83224271238728e+35,0
P19351,0.0027080860733776097,0.002849228333992877,0.3190803832718129,3.450169038289303e-05,1.718000845680844e+35,0
P18432,0.011110809652760602,0.005381875741986545,0.3821137704737159,5.753923861894446e-05,1.1996523197371567e+36,0
P48610,0.012327978692726237,0.008943411159477641,0.4013396993342492,0.0016034575651159315,2.5552749028078585e+36,0
Q9VFC7,0.0012177810112253406,0.004352987732489117,0.3881584943979609,0.00018870651806369236,1.0363676593193268e+36,0
P00334,0.002603945448512377,0.00965571824297586,0.3946009071284694,0.0012923322245817893,2.259388628531018e+36,0
P09491,0.009114142812362468,0.004352987732489117,0.3823643603550458,4.934232771995125e-05,1.0105887818196636e+36,0
Q8MSI2,0.015153602266148262,0.004194697269489513,0.3827707748933749,5.471591912767276e-05,1.016393108755582e+36,0
Q9VSA9,0.008997463086123024,0.0015829046299960427,0.37947286764052796,0.00020529582221369693,4.266021494174109e+35,0
Q9VM18,0.008952112726100438,0.0018994855559952512,0.3809842413121313,1.3621301195969874e-05,5.3318336409771125e+35,0
P13706,0.009373229443335901,0.00482785912148793,0.3830701607261295,7.164135627142629e-05,1.1097988549277497e+36,0
P18091,0.00953524647567342,0.004036406806489909,0.3832620135627532,0.0001290578675052431,8.976651823319562e+35,0
Q9VIE8,0.010401595803763895,0.004986149584487534,0.3913469347425217,0.0004499260358597412,1.3369916370527286e+36,0
P07764,0.02174097408919382,0.010130589631974673,0.3944356532210965,0.0006360893564271396,5.517654582265885e+36,0
P47947,0.010875112541176301,0.0021369212504946575,0.3797788941466897,1.165070309455395e-05,5.534248813644527e+35,0
Q8IQW5,0.00960401497740107,0.004273842500989315,0.3841277348169185,0.0003138782670898235,7.248419581169743e+35,0
Q9VWG1,0.0141540680826199,0.004273842500989315,0.3841277348169185,0.0003138782670898235,7.248419581169745e+35,0
