locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
FBgn0028926,,1,347,NE,Nonessential
FBgn0028931,,1,347,NE,Nonessential
FBgn0028932,,1,347,NE,Nonessential
FBgn0028935,,1,347,NE,Nonessential
FBgn0028936,,1,347,NE,Nonessential
FBgn0028938,,1,347,NE,Nonessential
FBgn0028939,,1,347,NE,Nonessential
FBgn0028940,,1,347,NE,Nonessential
FBgn0028941,,1,347,NE,Nonessential
FBgn0028942,,1,347,NE,Nonessential
FBgn0028943,,1,347,NE,Nonessential
FBgn0028944,,1,347,NE,Nonessential
FBgn0028945,,1,347,NE,Nonessential
FBgn0028946,,1,347,NE,Nonessential
FBgn0028947,,1,347,NE,Nonessential
FBgn0028948,,1,347,NE,Nonessential
FBgn0028949,,1,347,NE,Nonessential
FBgn0028950,,1,347,NE,Nonessential
FBgn0028952,,1,347,NE,Nonessential
FBgn0028953,,1,347,NE,Nonessential
FBgn0028954,,1,347,NE,Nonessential
FBgn0028955,,1,347,NE,Nonessential
FBgn0028956,,1,347,NE,Nonessential
FBgn0028961,,1,347,NE,Nonessential
FBgn0028962,,1,347,NE,Nonessential
FBgn0028963,,1,347,NE,Nonessential
FBgn0028965,,1,347,NE,Nonessential
FBgn0028968,,1,347,NE,Nonessential
FBgn0028969,,1,347,NE,Nonessential
FBgn0028970,,1,347,NE,Nonessential
FBgn0028974,,1,347,NE,Nonessential
FBgn0028978,,1,347,NE,Nonessential
FBgn0028979,,1,347,NE,Nonessential
FBgn0028980,,1,347,NE,Nonessential
FBgn0028982,,1,347,NE,Nonessential
FBgn0028983,,1,347,NE,Nonessential
FBgn0028984,,1,347,NE,Nonessential
FBgn0028985,,1,347,NE,Nonessential
FBgn0028986,,1,347,NE,Nonessential
FBgn0028987,,2,"347,363","NE,E",Conditional
FBgn0028988,,1,347,NE,Nonessential
FBgn0028990,,1,347,NE,Nonessential
FBgn0028991,,1,347,NE,Nonessential
FBgn0028992,,1,347,NE,Nonessential
FBgn0028993,,1,347,NE,Nonessential
FBgn0028996,,1,347,NE,Nonessential
FBgn0028997,,1,347,NE,Nonessential
FBgn0028999,,1,347,NE,Nonessential
FBgn0029002,,1,347,NE,Nonessential
FBgn0029003,,1,347,NE,Nonessential
FBgn0029006,,1,347,NE,Nonessential
FBgn0029067,,1,347,NE,Nonessential
FBgn0029079,,1,347,NE,Nonessential
FBgn0029082,,1,347,NE,Nonessential
FBgn0029084,,1,347,NE,Nonessential
FBgn0029088,,1,347,NE,Nonessential
FBgn0029090,,1,347,NE,Nonessential
FBgn0029091,,1,347,NE,Nonessential
FBgn0029092,,1,347,NE,Nonessential
FBgn0029093,,1,347,NE,Nonessential
FBgn0029094,,1,347,NE,Nonessential
FBgn0029095,,1,347,NE,Nonessential
FBgn0029105,,1,347,NE,Nonessential
FBgn0029113,,1,347,NE,Nonessential
FBgn0029114,,1,347,NE,Nonessential
FBgn0029117,,1,347,NE,Nonessential
FBgn0029118,,1,347,NE,Nonessential
FBgn0029121,,1,347,NE,Nonessential
FBgn0029123,,1,347,NE,Nonessential
FBgn0029128,,1,347,NE,Nonessential
FBgn0029131,,1,347,NE,Nonessential
FBgn0029133,,1,347,NE,Nonessential
FBgn0029134,,1,347,E,Essential
FBgn0029137,,1,347,NE,Nonessential
FBgn0029147,,1,347,NE,Nonessential
FBgn0029148,,1,347,NE,Nonessential
FBgn0029152,,1,347,NE,Nonessential
FBgn0029153,,1,347,NE,Nonessential
FBgn0029154,,1,347,NE,Nonessential
FBgn0029155,,1,347,NE,Nonessential
