locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
FBgn0030178,,1,347,NE,Nonessential
FBgn0030181,,1,347,NE,Nonessential
FBgn0030182,,1,347,NE,Nonessential
FBgn0030183,,1,347,NE,Nonessential
FBgn0030186,,1,347,NE,Nonessential
FBgn0030187,,1,347,NE,Nonessential
FBgn0030189,,1,347,NE,Nonessential
FBgn0030191,,1,347,NE,Nonessential
FBgn0030192,,1,347,NE,Nonessential
FBgn0030193,,1,347,NE,Nonessential
FBgn0030195,,1,347,NE,Nonessential
FBgn0030196,,1,347,NE,Nonessential
FBgn0030200,,2,"363,347","NE,NE",Nonessential
FBgn0030202,,1,347,NE,Nonessential
FBgn0030204,,1,347,NE,Nonessential
FBgn0030205,,1,347,NE,Nonessential
FBgn0030206,,1,347,NE,Nonessential
FBgn0030207,,1,347,NE,Nonessential
FBgn0030208,,1,347,NE,Nonessential
FBgn0030215,,2,"363,347","NE,NE",Nonessential
FBgn0030217,,1,347,NE,Nonessential
FBgn0030218,,1,347,NE,Nonessential
FBgn0030219,,1,347,NE,Nonessential
FBgn0030220,,1,347,NE,Nonessential
FBgn0030221,,1,347,NE,Nonessential
FBgn0030222,,1,347,NE,Nonessential
FBgn0030223,,1,347,NE,Nonessential
FBgn0030224,,1,347,NE,Nonessential
FBgn0030228,,1,347,NE,Nonessential
FBgn0030230,,1,347,NE,Nonessential
FBgn0030234,,1,347,NE,Nonessential
FBgn0030235,,1,347,NE,Nonessential
FBgn0030237,,1,347,NE,Nonessential
FBgn0030239,,1,347,NE,Nonessential
FBgn0030240,,1,347,NE,Nonessential
FBgn0030241,,1,347,NE,Nonessential
FBgn0030242,,1,347,NE,Nonessential
FBgn0030243,,1,347,NE,Nonessential
FBgn0030244,,1,347,NE,Nonessential
FBgn0030245,,1,347,NE,Nonessential
FBgn0030246,,1,347,NE,Nonessential
FBgn0030247,,1,347,NE,Nonessential
FBgn0030248,,1,347,NE,Nonessential
FBgn0030249,,1,347,NE,Nonessential
FBgn0030251,,1,347,NE,Nonessential
FBgn0030252,,1,347,NE,Nonessential
FBgn0030254,,1,347,NE,Nonessential
