Interactor A,Interactor B,Interaction Score
P02574,P39205,0.92873566
P02574,Q6NR18,0.297354
P02574,Q7KML4,0.297354
P02574,Q9BP34,0.297354
P02574,Q9BP35,0.297354
P02574,Q9VC48,0.297354
P02574,P22700,0.971752872
P02574,P05661,0.990830311696
P02574,P06742,0.98943155848
P02574,P35415,0.889187578
P02574,P35416,0.7830322
P02574,P19351,0.971752872
P02574,P18432,0.9886822264
P02574,P48610,0.889187578
P02574,Q9VFC7,0.792944
P02574,P00334,0.792944
P02574,P09491,0.9874333396
P02574,Q8MSI2,0.7830322
P02574,Q9VSA9,0.693826
P02574,P36188,0.978691132
P02574,Q9VM18,0.7830322
P02574,P13706,0.99001437232
P02574,P18091,0.94955044
P02574,Q9VIE8,0.297354
P02574,P07764,0.9853518616
P02574,P47947,0.7830322
P02574,Q8IQW5,0.94955044
P02574,Q9VWG1,0.693826
P02574,P54385,0.89404436
P02574,Q9VXN9,0.5055018
P02574,Q8T0J3,0.7830322
P02574,Q9V4P1,0.985629392
P02574,Q8I7C3,0.99084696352
P02574,P20385,0.792944
P02574,P25158,0.89404436
P02574,Q04652,0.947468962
P02574,Q9VU68,0.985827628
P02574,P53501,0.947468962
P02574,P10981,0.9824377924
P02574,Q9VPX6,0.94955044
P39205,Q6NR18,0.2811
P39205,Q7KML4,0.2811
P39205,Q9BP34,0.2811
P39205,Q9BP35,0.2811
P39205,Q9VC48,0.2811
P39205,P07663,0.8727218
P39205,Q9VEH1,0.6559
P39205,Q8T626,0.89952
P39205,P13360,0.7496
P39205,Q3T7F7,0.2811
P39205,Q7KES3,0.2811
P39205,Q7KRS7,0.2811
P39205,Q8IMF8,0.2811
P39205,Q8MT11,0.2811
P39205,Q8T0H5,0.2811
P39205,Q8WR53,0.2811
P39205,Q95UI6,0.2811
P39205,P84345,0.89952
P39205,O46098,0.6559
P39205,P20477,0.6559
P39205,Q7JYZ9,0.74023
P39205,P22465,0.2811
P39205,Q9VG79,0.2811
P39205,O77264,0.2811
P39205,Q9W3X3,0.74023
P39205,Q9VI70,0.74023
P39205,Q95SU8,0.2811
P39205,Q9V3Z2,0.2811
P39205,Q9VED4,0.74023
P39205,P08841,0.9094522
P39205,O97121,0.2811
P39205,Q7JXZ2,0.74023
P39205,P40417,0.897646
P39205,P54611,0.897646
P39205,Q9VYD5,0.877969
P39205,Q86NZ5,0.2811
P39205,Q9VU38,0.799261
P39205,Q9VU39,0.74023
P39205,P49906,0.89952
P39205,P48554,0.2811
P39205,Q86R99,0.2811
P39205,Q86RA0,0.2811
P39205,Q8IQN4,0.74023
P39205,Q8MT32,0.2811
P39205,Q8MV37,0.2811
P39205,Q95SD5,0.2811
P39205,Q9VUX6,0.74023
P39205,Q9VUX7,0.74023
P39205,O46308,0.74023
P39205,P20028,0.2811
P39205,Q8SZA4,0.2811
P39205,P09082,0.7496
P39205,P55035,0.935347132
P39205,O76136,0.2811
P39205,Q9W1H7,0.2811
P39205,Q961D1,0.74023
P39205,Q9VZ07,0.74023
P39205,Q8IR14,0.877969
P39205,Q960H6,0.74023
P39205,Q9VXG5,0.74023
P39205,Q9VM49,0.2811
P39205,Q8T965,0.93168721
P39205,Q9VZM7,0.2811
P39205,Q9VRQ4,0.6559
P39205,Q24389,0.2811
P39205,P31009,0.93332696
P39205,Q8WS23,0.2811
P39205,Q8WS24,0.2811
P39205,Q8WTD1,0.2811
P39205,Q8WTD2,0.2811
P39205,Q9VTS6,0.74023
P39205,Q9VTS8,0.74023
P39205,Q9VTS9,0.9291292
P39205,Q9V3D0,0.85267
P39205,Q7K0E6,0.845174
P39205,Q9XYM1,0.2811
P39205,Q961H1,0.6559
P39205,Q9VNI0,0.6559
P39205,P32023,0.74023
P39205,Q03043,0.9094522
P39205,Q9W1I2,0.9291292
P39205,Q9W227,0.74023
P39205,P22058,0.7496
P39205,Q9VVL7,0.6559
P39205,Q9VHB1,0.2811
P39205,Q9VL27,0.85267
P39205,Q7KWG9,0.6559
P39205,P23625,0.2811
P39205,Q7KJ69,0.6559
P39205,Q9VNX7,0.877969
P39205,Q9VB23,0.799261
P39205,O97143,0.897646
P39205,P35415,0.8405827
P39205,P35416,0.74023
P39205,Q7K306,0.877969
P39205,Q94877,0.2811
P39205,B6VQA1,0.2811
P39205,O46070,0.6559
P39205,A1Z6E0,0.936790112
P39205,O46060,0.2811
P39205,Q9I7Z8,0.2811
P39205,Q9W351,0.47787
P39205,Q8MS22,0.2811
P39205,Q8SXY9,0.2811
P39205,Q9VYL7,0.2811
P39205,Q9W1P1,0.2811
P39205,Q9W0M7,0.877969
P39205,Q8T9L6,0.2811
P39205,Q95RR8,0.877969
P39205,Q9VS41,0.74023
P39205,Q9VG22,0.74023
P39205,Q8MSW5,0.2811
P39205,Q9VAZ0,0.74023
P39205,Q95TJ9,0.2811
P39205,Q7PLE9,0.74023
P39205,Q8MRG8,0.2811
P39205,A1Z743,0.2811
P39205,Q9VKJ0,0.2811
P39205,Q7K0V7,0.2811
P39205,P92177,0.91771654
P39205,O17311,0.2811
P39205,O17312,0.2811
P39205,Q9VUJ1,0.93149044
P39205,Q9XYP7,0.93693388528
P39205,Q7K148,0.93149044
P39205,Q9NHX7,0.2811
P39205,O97069,0.74023
P39205,Q9W3K3,0.85267
P39205,Q9VNI3,0.2811
P39205,Q9Y1P6,0.2811
P39205,Q8SY53,0.2811
P39205,Q9Y0Y5,0.2811
P39205,Q9VW54,0.93463876
P39205,Q9XZ16,0.6559
P39205,Q7KNM2,0.6559
P39205,Q9Y145,0.6559
P39205,Q9U6B8,0.2811
P39205,Q9VK57,0.2811
P39205,Q9VK58,0.2811
P39205,A1ZBG9,0.6559
P39205,Q9VRN3,0.74023
P39205,Q9VTQ9,0.911701
P39205,Q9W414,0.9319402
P39205,Q9VFS8,0.877969
P39205,Q7KMP8,0.93463876
P39205,Q9V3Z4,0.93463876
P39205,Q9V436,0.93463876
P39205,Q9V3H8,0.7496
P39205,Q8SXQ2,0.2811
P39205,Q9VSW1,0.799261
P39205,Q9VSW2,0.74023
P39205,P48602,0.9251938
P39205,Q9VJJ0,0.9186348
P39205,Q8IRD1,0.74023
P39205,Q9VCD5,0.2811
P39205,Q9VLL0,0.74023
P39205,P55162,0.6559
P39205,Q7KMQ0,0.92873566
P39205,Q95083,0.93149044
P39205,Q7JV70,0.2811
P39205,Q9VTW0,0.2811
P39205,Q9VTW1,0.2811
P39205,Q9V492,0.85267
P39205,Q9VWE6,0.2811
P39205,Q9VMI6,0.74023
P39205,Q9VN50,0.8405827
P39205,Q9U1H9,0.80582
P39205,Q7JX82,0.80582
P39205,Q9VL92,0.2811
P39205,O97183,0.80582
P39205,Q8IP63,0.2811
P39205,A1Z8T9,0.799261
P39205,Q9VRQ2,0.936940032
P39205,Q9VHF8,0.6559
P39205,Q7YU87,0.2811
P39205,Q8IHA6,0.2811
P39205,Q8INL2,0.2811
P39205,Q9VGX5,0.2811
P39205,Q9W5G0,0.6559
P39205,P34082,0.80582
P39205,P42570,0.74023
P39205,Q9VQZ6,0.85267
P39205,Q27896,0.2811
P39205,Q24251,0.89952
P39205,Q8IQ26,0.2811
P39205,Q8IQ27,0.2811
P39205,Q7K1T6,0.2811
P39205,Q9VIV5,0.2811
P39205,Q9VXW3,0.6559
P39205,Q9W4U7,0.6559
P39205,Q8IRR5,0.6559
P39205,Q9W484,0.2811
P39205,Q9VTZ6,0.85267
P39205,Q8MZ50,0.2811
P39205,Q9W1A3,0.80582
P39205,Q9W3Y3,0.74023
P39205,Q9VG94,0.877969
P39205,Q9VXE7,0.74023
P39205,Q9VX99,0.2811
P39205,A1Z7A8,0.47787
P39205,Q8MSP2,0.2811
P39205,Q9VBQ3,0.74023
P39205,Q8T0S7,0.2811
P39205,Q9TVM9,0.2811
P39205,Q9W525,0.74023
P39205,Q4LBB9,0.2811
P39205,Q9W3X1,0.6559
P39205,Q4QPW4,0.2811
P39205,A1Z9K4,0.9192907
P39205,Q5BI38,0.2811
P39205,Q7KQC4,0.2811
P39205,Q95RE0,0.74023
P39205,Q9VTM1,0.2811
P39205,Q9VUN2,0.2811
P39205,O77051,0.2811
P39205,Q7KIS4,0.2811
P39205,Q8MSD1,0.2811
P39205,Q24046,0.7496
P39205,Q9W263,0.6559
P39205,O77430,0.799261
P39205,Q03019,0.7496
P39205,P17917,0.74023
P39205,Q9VYV4,0.2811
P39205,Q9VXP1,0.6559
P39205,Q9VKF2,0.74023
P39205,Q8MRY0,0.2811
P39205,Q9VIW8,0.74023
P39205,Q9VIK3,0.85267
P39205,Q5BI50,0.7496
P39205,Q494G8,0.6559
P39205,Q8T8S1,0.9192907
P39205,Q7K3B9,0.2811
P39205,Q7K486,0.2811
P39205,A1ZBR1,0.2811
P39205,Q8T8W7,0.2811
P39205,Q95RW0,0.2811
P39205,Q9VST7,0.877969
P39205,Q95TN4,0.2811
P39205,Q9VTM4,0.74023
P39205,Q9VUR0,0.2811
P39205,Q9VUR4,0.74023
P39205,Q8IQM5,0.2811
P39205,Q960Q5,0.2811
P39205,Q7YZ95,0.85267
P39205,Q95S27,0.6559
P39205,Q9VI16,0.897646
P39205,Q95U38,0.80582
P39205,Q9VHJ8,0.2811
P39205,Q9VH60,0.925756
P39205,Q8T3U8,0.6559
P39205,Q9VFN3,0.74023
P39205,Q9VFP1,0.2811
P39205,Q9VF10,0.920134
P39205,Q9VE08,0.6559
P39205,Q9W281,0.85267
P39205,Q9W1V1,0.877969
P39205,Q9W127,0.6559
P39205,Q0E8J0,0.2811
P39205,Q8T078,0.2811
P39205,Q9VZS1,0.74023
P39205,Q8SX86,0.799261
P39205,Q9VBL2,0.2811
P39205,Q8IGU5,0.2811
P39205,Q8T0K1,0.74023
P39205,Q9VAK7,0.877969
P39205,Q9VZH1,0.2811
P39205,P23573,0.9192907
P39205,Q9N2P6,0.2811
P39205,Q9I7P3,0.877969
P39205,Q8T0P7,0.2811
P39205,Q9VI00,0.2811
P39205,Q9VBP9,0.845174
P39205,Q9VXF1,0.74023
P39205,O97468,0.2811
P39205,O97469,0.2811
P39205,Q8SXP8,0.910764
P39205,Q9W1I0,0.2811
P39205,Q8MSM3,0.2811
P39205,Q9VRV9,0.877969
P39205,Q9VYI0,0.80582
P39205,Q9VXT7,0.74023
P39205,Q7KS38,0.910764
P39205,Q95SB0,0.2811
P39205,Q9GPQ2,0.2811
P39205,Q9VQI7,0.897646
P39205,Q9VIP1,0.2811
P39205,Q8T5S9,0.74023
P39205,Q9I7K0,0.92414436
P39205,Q9V9N4,0.2811
P39205,Q8SY19,0.6559
P39205,Q8SWX9,0.2811
P39205,Q9VB02,0.877969
P39205,Q9VGQ0,0.6559
P39205,Q0E9A5,0.74023
P39205,Q8MR83,0.2811
P39205,Q8WSN1,0.2811
P39205,Q9VC60,0.6559
P39205,Q960X8,0.615609
P39205,O96989,0.7496
P39205,Q9VJ39,0.8956783
P39205,Q9VJG0,0.7496
P39205,Q9VWC4,0.74023
P39205,Q07171,0.936685168
P39205,Q9VC08,0.80582
P39205,P42787,0.80582
P39205,P52485,0.6559
P39205,Q8SXG7,0.2811
P39205,Q05652,0.8405827
P39205,Q27889,0.877969
P39205,Q7JZ25,0.7496
P39205,Q967S0,0.74023
P39205,Q9VRZ1,0.74023
P39205,Q8SX44,0.85267
P39205,P26686,0.2811
P39205,Q9VRB3,0.2811
P39205,Q9W1E5,0.7496
P39205,Q24139,0.910764
P39205,Q9W214,0.6559
P39205,O96838,0.911701
P39205,Q9V396,0.877969
P39205,Q9VXF9,0.845174
P39205,Q9VWD9,0.74023
P39205,Q9VFE3,0.6559
P39205,P45891,0.92873566
P39205,Q24567,0.2811
P39205,Q29QQ9,0.9291292
P39205,Q9VXN8,0.877969
P39205,Q9VQ22,0.2811
P39205,Q9VXL4,0.80582
P39205,Q9VXE5,0.88078
P39205,Q9VM79,0.6559
P39205,A1ZAJ2,0.9291292
P39205,Q7YU51,0.2811
P39205,Q9W049,0.74023
P39205,Q9VTM2,0.74023
P39205,Q9VPW2,0.877969
P39205,Q9VP22,0.6559
P39205,Q8SYC8,0.2811
P39205,Q9VK19,0.9291292
P39205,Q9VP13,0.7496
P39205,A1Z6W5,0.74023
P39205,Q8MYS8,0.2811
P39205,Q7KML2,0.74023
P39205,Q9V3G3,0.2811
P39205,Q9V4T3,0.2811
P39205,Q7JVG6,0.2811
P39205,Q9VVK7,0.2811
P39205,Q9VBI0,0.2811
P39205,Q8MS69,0.47787
P39205,Q9VBH7,0.6559
P39205,Q9VBF5,0.74023
P39205,Q8SY20,0.2811
P39205,Q9VVS3,0.2811
P39205,P40304,0.93149044
P39205,Q9V7D2,0.74023
P39205,Q95S58,0.2811
P39205,Q9W0Q4,0.2811
P39205,Q9Y0E4,0.2811
P39205,Q07327,0.93149044
P39205,Q7K3Z8,0.47787
P39205,Q9W1V2,0.6559
P39205,Q7KU87,0.74023
P39205,Q7KU88,0.74023
P39205,Q7KU89,0.74023
P39205,Q86NW6,0.2811
P39205,Q8MSF1,0.2811
P39205,O96816,0.2811
P39205,Q7K523,0.2811
P39205,Q8IH49,0.74023
P39205,Q8INC1,0.74023
P39205,Q8INC3,0.9251938
P39205,Q8SZW3,0.2811
P39205,Q8T6M0,0.2811
P39205,Q9VEZ0,0.74023
P39205,P08570,0.9186348
P39205,P12297,0.7496
P39205,A1Z850,0.2811
P39205,Q9BLY4,0.2811
P39205,P61857,0.8956783
P39205,A1Z714,0.80582
P39205,Q9VPT5,0.911701
P39205,Q7KJV5,0.2811
P39205,Q7KSM5,0.74023
P39205,Q9VG70,0.2811
P39205,Q9VTZ4,0.877969
P39205,P07140,0.7496
P39205,P19107,0.80582
P39205,P26802,0.6559
P39205,Q9W2N0,0.93345814
P39205,Q9VRJ4,0.85267
P39205,Q9VNH5,0.74023
P39205,Q9W3F1,0.74023
P39205,Q9VUZ0,0.74023
P39205,P41093,0.910764
P39205,P25008,0.88078
P39205,Q8INI8,0.2811
P39205,O17144,0.2811
P39205,O76513,0.74023
P39205,Q9V5L3,0.47787
P39205,Q9VK14,0.9186348
P39205,Q9Y1I2,0.93149044
P39205,Q95SE0,0.2811
P39205,Q9W396,0.2811
P39205,Q8IGR0,0.2811
P39205,Q8SYT1,0.2811
P39205,Q9VMD7,0.74023
P39205,Q9VKH6,0.88078
P39205,Q8IGE6,0.2811
P39205,Q9VT32,0.74023
P39205,Q9VT33,0.74023
P39205,O46341,0.2811
P39205,Q9VWN2,0.6559
P39205,Q9VP46,0.911701
P39205,Q9VI15,0.47787
P39205,O46085,0.93168721
P39205,P11146,0.2811
P39205,Q7KW08,0.74023
P39205,Q9V359,0.2811
P39205,Q4V5U6,0.2811
P39205,Q9VTU3,0.6559
P39205,P25028,0.89952
P39205,Q86B83,0.2811
P39205,Q9W3N9,0.6559
P39205,Q9W3G8,0.2811
P39205,O77425,0.877969
P39205,Q95R49,0.2811
P39205,Q9VVV7,0.74023
P39205,Q961M0,0.2811
P39205,Q9VBS7,0.2811
P39205,O76752,0.6559
P39205,Q76NR6,0.74023
P39205,Q9VYR1,0.74023
P39205,A1ZA18,0.2811
P39205,O01349,0.2811
P39205,Q9XZ19,0.6559
P39205,Q9VKG8,0.88078
P39205,Q7K4Q5,0.74023
P39205,Q7K1Q7,0.74023
P39205,Q86NX6,0.2811
P39205,Q9W299,0.2811
P39205,Q8SZ80,0.2811
P39205,Q9VVP8,0.2811
P39205,Q9VV76,0.74023
P39205,Q9VYD6,0.6559
P39205,Q94981,0.9251938
P39205,Q9V9R2,0.89952
P39205,Q9VGI8,0.6559
P39205,P48588,0.92414436
P39205,Q5U127,0.89952
P39205,Q86NM7,0.6559
P39205,Q9VUU4,0.6559
P39205,Q7JUN9,0.2811
P39205,Q9VFT4,0.89952
P39205,Q9VR29,0.6559
P39205,Q7JRJ1,0.2811
P39205,Q9VG26,0.74023
P39205,Q9VZM9,0.6559
P39205,Q9VZN0,0.85267
P39205,Q9VZN2,0.6559
P39205,P35005,0.6559
P39205,Q9VQG0,0.7496
P39205,Q9VPW8,0.2811
P39205,A1Z912,0.2811
P39205,Q8T3H7,0.2811
P39205,Q9VMB5,0.74023
P39205,Q9VMA0,0.2811
P39205,P98081,0.897646
P39205,Q9VLW7,0.9294103
P39205,Q9VLS4,0.2811
P39205,Q9VPW9,0.6559
P39205,Q8MR16,0.2811
P39205,Q9VL81,0.2811
P39205,Q9VN95,0.47787
P39205,Q9VPT2,0.877969
P39205,Q8T8V8,0.2811
P39205,Q9W1S5,0.799261
P39205,Q9U616,0.6559
P39205,Q86BP6,0.6559
P39205,Q9VUZ2,0.6559
P39205,Q9VWS5,0.2811
P39205,Q9VJ98,0.2811
P39205,Q9VKF0,0.2811
P39205,Q9VJ38,0.7496
P39205,Q9VSF4,0.74023
P39205,Q8T9G7,0.74023
P39205,Q9VIW1,0.74023
P39205,O96679,0.2811
P39205,Q9VCN6,0.2811
P39205,Q9W4R9,0.74023
P39205,Q9VQI6,0.6559
P39205,Q9VM08,0.6559
P39205,Q9VJA5,0.7496
P39205,Q9W0C9,0.6559
P39205,Q9VZU2,0.2811
P39205,Q9VFE6,0.85267
P39205,Q9VAN0,0.877969
P39205,Q8T3H5,0.2811
P39205,Q9VVQ9,0.2811
P39205,Q5BIF6,0.2811
P39205,Q9VIT0,0.74023
P39205,Q9VYT1,0.2811
P39205,Q9VLF2,0.85267
P39205,Q8T8V3,0.2811
P39205,Q9W0Q3,0.2811
P39205,Q9VIP8,0.93542584
P39205,Q9VF28,0.74023
P39205,Q03042,0.897646
P39205,Q9VHN1,0.897646
P39205,Q9VH36,0.74023
P39205,P17971,0.2811
P39205,O76932,0.936685168
P39205,Q86BS8,0.2811
P39205,Q8MZI0,0.2811
P39205,Q9VBZ6,0.9192907
P39205,Q8IGW2,0.2811
P39205,Q8IH36,0.2811
P39205,Q9VBT1,0.2811
P39205,P25167,0.2811
P39205,Q9VFT3,0.7496
P39205,Q9VNR6,0.2811
P39205,Q7YU85,0.2811
P39205,Q86PF3,0.2811
P39205,Q9VA35,0.2811
P39205,Q9VA36,0.74023
P39205,Q9Y154,0.2811
P39205,Q7KLX0,0.2811
P39205,Q9U9Q2,0.2811
P39205,Q9Y106,0.2811
P39205,Q8MME5,0.74023
P39205,Q95U66,0.2811
P39205,Q961W2,0.2811
P39205,Q9W204,0.74023
P39205,Q9W205,0.74023
P39205,Q9NBD7,0.93699999341791
P39205,O96818,0.2811
P39205,Q9VUC1,0.74023
P39205,Q9XZT5,0.2811
P39205,P09085,0.7496
P39205,Q24210,0.74023
P39205,Q9VGL8,0.85267
P39205,Q9VRB7,0.74023
P39205,Q2XVY6,0.2811
P39205,Q2XVY7,0.2811
P39205,Q8IH92,0.2811
P39205,Q8IMZ4,0.74023
P39205,Q9N6D8,0.2811
P39205,Q9VW42,0.2811
P39205,Q9I7M1,0.2811
P39205,Q7K0S8,0.2811
P39205,Q9VRD4,0.2811
P39205,Q94535,0.7496
P39205,Q9VR51,0.2811
P39205,Q9W0D7,0.9192907
P39205,Q9VPW1,0.2811
P39205,Q9VQ26,0.74023
P39205,Q9I7X6,0.74023
P39205,Q9VPY9,0.6559
P39205,Q9VEV3,0.74023
P39205,Q9VQ02,0.74023
P39205,Q9VQ83,0.2811
P39205,Q9VQ84,0.2811
P39205,Q0E9F9,0.80582
P39205,Q9VFI9,0.6559
P39205,Q0E8U4,0.47787
P39205,Q8MRW0,0.2811
P39205,A1Z741,0.2811
P39205,A1Z742,0.2811
P39205,Q7JUR6,0.2811
P39205,Q95T84,0.2811
P39205,Q9VZJ8,0.2811
P39205,Q9VSI1,0.74023
P39205,Q9VMN3,0.877969
P39205,Q8MMD2,0.74023
P39205,Q8MMD3,0.74023
P39205,Q8WQ61,0.2811
P39205,Q9W111,0.799261
P39205,Q7K4E0,0.2811
P39205,Q8SZ99,0.2811
P39205,Q9VMI8,0.2811
P39205,Q23989,0.9291292
P39205,Q9VLK3,0.6559
P39205,Q0E8K8,0.7496
P39205,Q8T3Z0,0.877969
P39205,Q8IQH4,0.2811
P39205,Q8IQH5,0.2811
P39205,Q8SYY0,0.2811
P39205,Q9VU18,0.2811
P39205,Q8SZ06,0.2811
P39205,Q9VJQ6,0.6559
P39205,P46863,0.93699999395523
P39205,Q8T6L6,0.74023
P39205,Q8T6L7,0.74023
P39205,Q961G2,0.2811
P39205,Q9VHX3,0.74023
P39205,Q9V769,0.2811
P39205,Q27934,0.925756
P39205,P28668,0.9094522
P39205,Q9VJ61,0.877969
P39205,Q9VWD6,0.74023
P39205,Q95SK5,0.2811
P39205,Q9W074,0.877969
P39205,P51521,0.2811
P39205,Q9VD65,0.47787
P39205,P61851,0.9291292
P39205,P42283,0.2811
P39205,P42284,0.2811
P39205,Q7KQZ4,0.2811
P39205,Q27589,0.2811
P39205,Q9V813,0.799261
P39205,Q7K5M6,0.7496
P39205,Q7JZN0,0.2811
P39205,Q9VJE4,0.2811
P39205,P82149,0.7496
P39205,Q27333,0.7496
P39205,Q9VGF9,0.9366812326
P39205,P12426,0.799261
P39205,P06002,0.89952
P39205,Q24096,0.2811
P39205,Q24590,0.2811
P39205,Q86NM6,0.2811
P39205,Q9VA38,0.93149044
P39205,Q9U6P5,0.2811
P39205,Q9VZZ7,0.2811
P39205,Q9VMG8,0.6559
P39205,P12982,0.8956783
P39205,P18487,0.897646
P39205,P36872,0.9251938
P39205,Q9VHK8,0.2811
P39205,Q9VDM7,0.2811
P39205,P23226,0.933143308
P39205,Q24036,0.2811
P39205,Q86BI4,0.2811
P39205,Q95RI5,0.47787
P39205,Q27421,0.74023
P39205,O44342,0.2811
P39205,Q9VKW8,0.911701
P39205,Q9VJZ6,0.799261
P39205,Q6NLL1,0.2811
P39205,A1ZBH1,0.2811
P39205,Q7K4M9,0.47787
P39205,Q8IGB6,0.2811
P39205,Q9W1L8,0.799261
P39205,Q9W0M9,0.74023
P39205,Q5U0Z2,0.2811
P39205,Q9VRP2,0.2811
P39205,Q9VRS0,0.877969
P39205,Q9VSF5,0.2811
P39205,Q9VGN7,0.6559
P39205,Q9VXY1,0.8405827
P39205,A1Z9I6,0.2811
P39205,Q7K199,0.2811
P39205,Q0E940,0.90807481
P39205,P36975,0.9192907
P39205,Q9V3K7,0.2811
P39205,Q7KM03,0.2811
P39205,Q7KM04,0.2811
P39205,Q7KM05,0.2811
P39205,Q7KM08,0.2811
P39205,Q7YUC0,0.2811
P39205,Q8MZ44,0.2811
P39205,Q94888,0.2811
P39205,Q9XTK9,0.74023
P39205,Q9V439,0.2811
P39205,Q9W1Q0,0.74023
P39205,Q9NGN6,0.2811
P39205,Q9VKW2,0.2811
P39205,Q01295,0.2811
P39205,Q24206,0.2811
P39205,A1ZBR5,0.85267
P39205,Q9VG95,0.877969
P39205,Q9VG98,0.877969
P39205,Q7JVI6,0.6559
P39205,Q7JVZ8,0.6559
P39205,Q8SXQ9,0.74023
P39205,Q7KK90,0.74023
P39205,Q24498,0.80582
P39205,P25843,0.93598804
P39205,Q24113,0.2811
P39205,Q7JPC7,0.2811
P39205,Q8MS20,0.2811
P39205,Q7K1D9,0.2811
P39205,Q8MYX8,0.2811
P39205,Q9VAE7,0.2811
P39205,Q7Z1Y4,0.2811
P39205,Q8SXC1,0.2811
P39205,Q9W053,0.74023
P39205,Q9VCS5,0.6559
P39205,Q9VDU4,0.6559
P39205,Q9VSU6,0.2811
P39205,Q8IGF3,0.74023
P39205,Q8IMB8,0.2811
P39205,Q8IMB9,0.2811
P39205,Q8SXK8,0.2811
P39205,Q9V4C1,0.2811
P39205,Q0E8X9,0.47787
P39205,Q8T8W5,0.2811
P39205,Q9NIU4,0.2811
P39205,Q7K1Y4,0.6559
P39205,A1Z9S1,0.74023
P39205,Q9VTE0,0.877969
P39205,Q9VTI5,0.74023
P39205,Q7JVI3,0.933143308
P39205,Q7JZT9,0.2811
P39205,Q9VWW1,0.74023
P39205,Q9VWK9,0.2811
P39205,Q8IGL2,0.2811
P39205,Q8IP18,0.74023
P39205,Q9V3W1,0.74023
P39205,Q9VD07,0.2811
P39205,Q8T492,0.2811
P39205,Q9VTL0,0.74023
P39205,Q9VTL6,0.2811
P39205,Q9I7R1,0.2811
P39205,O77410,0.931214962
P39205,Q7JWD3,0.2811
P39205,Q8IH28,0.2811
P39205,Q7KKI9,0.2811
P39205,Q9VK37,0.74023
P39205,Q27597,0.2811
P39205,Q7KY04,0.897646
P39205,Q8MSX0,0.2811
P39205,Q9W508,0.6559
P39205,A1Z729,0.2811
P39205,Q9VG46,0.6559
P39205,Q9VEK4,0.6559
P39205,Q9VCC8,0.2811
P39205,Q9V3T1,0.74023
P39205,Q24276,0.877969
P39205,Q9VUC3,0.2811
P39205,P32100,0.9186348
P39205,Q9Y109,0.2811
P39205,Q5BI57,0.2811
P39205,Q9W3Z5,0.2811
P39205,Q9VMA3,0.9186348
P39205,Q9VT38,0.6559
P39205,Q9VNJ5,0.6559
P39205,Q8MQK5,0.2811
P39205,Q95RY2,0.2811
P39205,Q9VUQ1,0.2811
P39205,Q9VR30,0.2811
P39205,Q8MRB5,0.2811
P39205,Q9VCQ8,0.799261
P39205,Q9VPH3,0.2811
P39205,P10735,0.7496
P39205,Q8SYV4,0.2811
P39205,Q9VCY1,0.2811
P39205,Q9VNG1,0.74023
P39205,Q8T913,0.2811
P39205,Q9VI08,0.6559
P39205,Q9VI34,0.2811
P39205,A1ZB68,0.74023
P39205,Q8SYR1,0.2811
P39205,P56175,0.2811
P39205,Q9VHP1,0.2811
P39205,A1Z7L1,0.2811
P39205,A1Z784,0.80582
P39205,Q7JV23,0.2811
P39205,Q9U969,0.80582
P39205,A1Z7P1,0.74023
P39205,Q5BHU7,0.2811
P39205,Q86NU8,0.2811
P39205,Q95RR7,0.2811
P39205,Q95X10,0.2811
P39205,Q9VTL5,0.85267
P39205,Q9VHV5,0.93598804
P39205,A1Z866,0.2811
P39205,A1Z867,0.2811
P39205,A1Z869,0.2811
P39205,A1Z870,0.2811
P39205,A1Z871,0.2811
P39205,A1Z872,0.2811
P39205,Q7JR75,0.2811
P39205,Q7K1M7,0.2811
P39205,Q86P80,0.2811
P39205,Q8IGB7,0.2811
P39205,Q8IGN4,0.2811
P39205,Q966U7,0.2811
P39205,Q966U8,0.2811
P39205,Q966U9,0.2811
P39205,Q966V0,0.2811
P39205,Q966V1,0.2811
P39205,Q8SWQ9,0.2811
P39205,Q8T094,0.2811
P39205,Q9VV82,0.2811
P39205,A1Z8C0,0.74023
P39205,Q7JZM5,0.2811
P39205,Q6WAR0,0.2811
P39205,Q6WAR9,0.2811
P39205,Q9VRD6,0.74023
P39205,Q9VJ26,0.2811
P39205,Q7JYV7,0.74023
P39205,P18289,0.7496
P39205,Q7K049,0.2811
P39205,Q8IHA0,0.2811
P39205,Q7K1U0,0.80582
P39205,Q9W2P0,0.86950789
P39205,Q9W1R4,0.74023
P39205,Q8MRE3,0.2811
P39205,Q8SZQ1,0.2811
P39205,Q9VW25,0.2811
P39205,Q8MYW5,0.2811
P39205,Q86BS2,0.74023
P39205,Q960F7,0.74023
P39205,Q9VH31,0.2811
P39205,Q9VA37,0.6559
P39205,Q9VQI5,0.2811
P39205,Q9VNF4,0.74023
P39205,Q24454,0.80582
P39205,Q9U1K1,0.9186348
P39205,P25160,0.6559
P39205,Q94527,0.9251938
P39205,O97428,0.897646
P39205,Q8IRS7,0.2811
P39205,Q9VQA7,0.2811
P39205,Q9VUG3,0.74023
P39205,Q8IMK7,0.2811
P39205,Q961C5,0.2811
P39205,Q9VAK1,0.2811
P39205,A1ZB29,0.74023
P39205,Q7K2J3,0.2811
P39205,Q8SZQ0,0.2811
P39205,Q9W2Q5,0.74023
P39205,Q9W1J7,0.2811
P39205,Q9VEZ5,0.92873566
P39205,Q9V3G9,0.2811
